State:Action,QValue
-2,53:down,0.29329413
-2,53:up,-0.050145045
-2,54:up,1.8247582
-2,55:left,-0.32864848
-2,55:up,5.4256015
-2,56:right,43.346558
-2,56:up,-0.06523293
-2,57:left,-0.08736786
-2,57:right,26.030703
-2,59:up,-0.24728642
-2,6:up,0.769369
-2,60:down,0.26193902
-2,60:right,7.5121737
-2,60:up,0.22910841
-2,61:down,0.9111341
-2,61:left,0.42781258
-2,61:right,37.97141
-2,61:up,6.637961
-2,62:down,6.6991906
-2,62:left,0.02104447
-2,62:right,23.954485
-2,62:up,-0.09710244
-2,63:left,-0.30962607
-2,64:left,-0.30821046
-2,65:down,0.047475353
-2,7:left,-0.19694185
-2,7:right,6.4936004
-2,7:up,4.3483477
-2,72:up,1.618141
-2,73:left,0.34488204
-2,73:right,40.95423
-2,74:right,1.249997
-2,76:left,-0.2988366
-2,76:right,17.641045
-2,76:up,0.31378785
-2,77:down,3.13409
-2,77:left,-0.056784675
-2,77:up,-0.17024507
-2,78:up,0.2865771
-2,79:down,0.61294085
-2,79:right,1.685885
-2,79:up,-0.23307061
-2,8:down,1.0723392
-2,8:right,14.080442
-2,80:left,-0.53047097
-2,80:right,31.554321
-2,80:up,-0.23650956
-2,81:down,0.93993825
-2,81:up,-0.2398684
-2,82:down,0.05986839
-2,82:up,-0.0031414034
-2,83:down,0.063141406
-2,83:up,-0.18646821
-2,84:right,0.2525467
-2,85:right,7.9082184
-2,85:up,-0.10914483
-2,86:down,0.2215462
-2,86:left,-0.18741667
-2,86:right,10.367728
-2,86:up,-0.30047926
-2,87:down,0.7752137
-2,87:right,7.8286815
-2,87:up,-0.048362672
-2,88:down,0.937164
-2,88:right,0.2210865
-2,88:up,-0.29053432
-2,89:down,0.71395886
-2,89:up,0.10570884
-2,9:right,4.3618736
-2,9:up,0.39433458
-2,90:down,0.5843649
-2,90:right,5.036826
-2,90:up,-0.29469922
-2,91:down,0.5920822
-2,91:right,11.702562
-2,91:up,-0.36509904
-2,92:down,2.5965166
-2,92:up,-0.23023994
-2,93:down,1.1302955
-2,93:up,-0.36892846
-2,94:down,0.26122847
-2,94:up,-0.19888361
-2,95:down,0.67737067
-2,95:up,-0.3725468
-2,96:down,0.5098315
-2,96:up,-0.13997407
-2,97:down,0.49997407
-2,97:up,-0.14232926
-2,98:down,0.26232925
-2,98:up,-0.1446158
-2,99:down,0.2646158
-2,99:up,-0.13868546
-3,14:right,0.20731728
-3,15:down,-0.43066823
-3,15:up,0.21698618
-3,16:down,0.008318841
-3,21:right,0.4126132
-3,32:left,-0.3735871
-3,32:right,0.3337402
-3,34:right,0.07249946
-3,37:left,-0.3815165
-3,37:right,0.29957128
-3,38:left,-0.26216877
-3,38:right,0.7823234
-3,40:up,0.20292778
-3,41:left,-0.07391875
-3,41:up,0.2743382
-3,42:up,0.54556644
-3,43:down,-0.09310438
-3,43:left,-0.387464
-3,43:right,0.25534815
-3,43:up,-0.14348306
-3,44:down,-0.12651697
-3,44:up,0.0009654165
-3,45:up,-0.2446216
-3,46:up,-0.010232627
-3,47:up,-0.01586541
-3,48:left,-0.3177983
-3,48:right,0.26978257
-3,49:right,8.825443
-3,49:up,0.07698605
-3,50:down,0.3812742
-3,50:up,-0.09108222
-3,51:down,0.2123964
-3,51:right,0.6361901
-3,52:right,0.42584363
-3,55:up,-0.060965434
-3,56:right,5.8447967
-3,57:up,0.16796814
-3,58:up,0.4024956
-3,59:left,0.15415764
-3,61:right,16.348316
-3,61:up,-0.08273483
-3,62:down,0.53308094
-3,62:right,0.32240266
-3,63:down,0.036645807
-3,63:left,-0.30991107
-3,64:left,-0.509848
-3,64:up,-0.3461662
-3,65:down,-0.19383387
-3,7:right,0.5580067
-3,72:up,0.18181975
-3,73:down,-0.06277131
-3,73:right,2.5991936
-3,73:up,-0.0588572
