State:Action,QValue
-1,20:down,4.88802
-1,20:right,18.853207
-1,21:down,1.1954308
-1,21:left,4.4575863
-1,21:right,18.325338
-1,21:up,4.865144
-1,22:down,8.283697
-1,22:right,19.609135
-1,22:up,9.933657
-1,23:down,4.029469
-1,23:left,13.1873
-1,23:right,13.727892
-1,23:up,19.056095
-1,24:down,14.969292
-1,24:left,5.713168
-1,24:right,21.681177
-1,24:up,13.1580305
-1,25:down,3.985363
-1,25:left,6.602493
-1,25:right,15.224582
-1,25:up,20.061659
-1,26:down,13.765737
-1,26:left,13.694768
-1,26:right,24.199097
-1,26:up,13.421785
-1,27:down,13.208505
-1,27:left,9.354347
-1,27:right,22.462366
-1,27:up,11.872779
-1,28:down,12.174621
-1,28:left,4.059681
-1,28:right,25.068295
-1,28:up,12.782034
-1,29:down,17.730103
-1,29:right,23.284206
-1,29:up,24.214697
-1,3:down,8.138979
-1,3:left,3.6540837
-1,3:right,10.14901
-1,3:up,2.5931983
-1,30:down,18.379509
-1,30:left,0.3327065
-1,30:right,26.842842
-1,30:up,19.465435
-1,31:down,25.580088
-1,31:left,0.9835979
-1,31:right,29.098038
-1,31:up,15.069199
-1,32:down,21.719872
-1,32:left,5.7620697
-1,32:right,31.695253
-1,32:up,28.93199
-1,33:down,26.709063
-1,33:left,9.609906
-1,33:right,31.279598
-1,33:up,18.352287
-1,34:down,19.112707
-1,34:left,10.784825
-1,34:right,32.008408
-1,34:up,27.665329
-1,35:down,10.361412
-1,35:left,15.43096
-1,35:right,34.09614
-1,35:up,7.128667
-1,36:down,15.711811
-1,36:left,18.861025
-1,36:right,32.49115
-1,36:up,36.33713
-1,37:down,27.613695
-1,37:left,8.289773
-1,37:right,37.577892
-1,37:up,28.134403
-1,38:down,25.668592
-1,38:left,10.393009
-1,38:right,39.408104
-1,38:up,23.385136
-1,39:down,28.580523
-1,39:left,26.008152
-1,39:right,42.22137
-1,39:up,21.019012
-1,4:down,6.094105
-1,4:left,3.1201766
-1,4:right,9.974949
-1,4:up,2.3280227
-1,40:down,25.844704
-1,40:left,5.3970833
-1,40:right,41.239063
-1,40:up,15.934616
-1,41:down,27.25351
-1,41:left,9.504473
-1,41:right,37.40434
-1,41:up,45.35802
-1,42:down,40.004215
-1,42:left,13.805065
-1,42:right,47.030422
-1,42:up,31.826822
-1,43:down,13.554844
-1,43:left,14.055794
-1,43:right,48.21567
-1,43:up,14.948383
-1,44:down,34.347973
-1,44:left,24.993586
-1,44:right,40.73835
-1,44:up,39.61768
-1,45:down,44.7156
-1,45:left,35.24041
-1,45:right,46.868965
-1,45:up,48.42784
-1,46:down,47.48967
-1,46:left,42.983727
-1,46:right,49.179947
-1,46:up,40.59935
-1,47:down,43.69748
-1,47:left,18.612602
-1,47:right,55.542694
-1,47:up,41.651417
-1,48:down,48.947617
-1,48:left,14.270418
-1,48:right,57.117958
-1,48:up,14.677477
-1,49:down,58.23157
-1,49:left,5.3534045
-1,49:right,41.016502
-1,49:up,28.89782
-1,5:down,6.170866
-1,5:left,6.6656895
-1,5:right,10.082982
-1,5:up,7.1621513
-1,50:down,7.346991
-1,50:left,1.5756644
-1,50:right,59.29765
-1,50:up,49.07534
-1,51:down,9.233992
-1,51:left,12.018806
-1,51:right,68.98158
-1,51:up,18.611967
-1,52:down,16.472836
-1,52:left,0.26125854
-1,52:right,56.413822
-1,52:up,32.49999
-1,53:down,35.959717
-1,53:left,17.346666
-1,53:right,54.762524
-1,53:up,46.718796
-1,54:down,13.987123
-1,54:left,20.29981
-1,54:right,56.748203
-1,54:up,14.59346
-1,55:down,13.472049
-1,55:left,27.404278
-1,55:right,50.749985
-1,55:up,24.878939
-1,56:down,48.93745
-1,56:left,-0.46876156
-1,56:right,39.78121
-1,57:down,39.871624
-1,57:left,14.791288
-1,57:right,47.007156
-1,57:up,22.746233
-1,58:down,32.881214
-1,58:left,35.199177
-1,58:right,45.799137
-1,58:up,34.542645
-1,59:down,14.839075
-1,59:left,20.104475
-1,59:right,46.424965
-1,59:up,18.173819
-1,6:down,4.469449
-1,6:left,2.5538094
-1,6:right,10.392955
-1,6:up,4.978241
-1,60:down,41.13044
-1,60:left,14.487749
-1,60:right,43.017426
-1,60:up,11.451742
-1,61:down,25.51907
-1,61:left,0.060915723
-1,61:right,41.0833
-1,61:up,5.79276
-1,62:down,11.360443
-1,62:left,0.12414
-1,62:right,38.69852
-1,62:up,0.49296153
-1,63:down,7.834627
-1,63:left,9.229103
-1,63:right,40.719456
-1,63:up,16.799595
-1,64:down,36.953754
-1,64:left,7.6208844
-1,64:right,34.737576
-1,64:up,17.512339
-1,65:down,16.871103
-1,65:left,0.094732754
-1,65:right,34.351414
-1,65:up,-0.13653052
-1,66:down,9.72821
-1,66:left,3.360374
-1,66:right,32.992104
-1,66:up,15.33277
-1,67:down,0.11157185
-1,67:left,10.687107
-1,67:right,30.761171
-1,67:up,17.551262
-1,68:down,12.202803
-1,68:left,4.9002924
-1,68:right,30.965492
-1,68:up,26.368433
-1,69:down,16.854681
-1,69:left,4.598198
-1,69:right,29.584265
-1,69:up,21.85181
-1,7:down,5.165684
-1,7:left,1.8097291
-1,7:right,10.53679
-1,7:up,0.2869012
-1,70:down,17.717234
-1,70:left,9.117354
-1,70:right,28.122253
-1,70:up,10.428657
-1,71:down,16.61625
-1,71:left,11.327103
-1,71:right,26.823639
-1,71:up,13.838371
-1,72:down,6.7681007
-1,72:left,7.0555353
-1,72:right,24.254404
-1,72:up,18.45803
-1,73:down,10.82369
-1,73:left,5.274625
-1,73:right,22.647718
-1,73:up,5.5102744
-1,74:down,17.435925
-1,74:left,3.4331574
-1,74:right,21.979036
-1,74:up,12.425039
-1,75:down,19.781406
-1,75:left,9.956691
-1,75:right,15.165347
-1,75:up,11.035317
-1,76:down,12.51898
-1,76:left,0.052706406
-1,76:right,12.173534
-1,76:up,5.9961777
-1,77:down,12.926064
-1,77:left,12.263815
-1,77:right,19.401703
-1,77:up,10.834806
-1,78:down,16.61495
-1,78:left,6.91864
-1,78:right,17.852167
-1,78:up,5.2253094
