Итерация,Значение
692,243.77333
693,243.773
694,243.7729
695,243.77408
696,243.77676
697,243.78146
698,243.79008
699,243.79744
700,243.80106
701,243.80492
702,243.80046
703,243.80354
704,243.80183
705,243.8067
706,243.80975
707,243.80942
708,243.81259
709,243.81494
710,243.81824
711,243.81207
712,243.81476
713,243.81825
714,243.82443
715,243.82776
716,243.82767
717,243.82826
718,243.82774
719,243.82948
720,243.8346
721,243.83482
722,243.83324
723,243.8348
724,243.8383
725,243.84042
726,243.84088
727,243.84393
728,243.8415
729,243.84325
730,243.84799
731,243.85074
732,243.85155
733,243.85298
734,243.84964
735,243.85143
736,243.8503
737,243.85489
738,243.85605
739,243.85449
740,243.85423
741,243.8546
742,243.85768
743,243.86096
744,243.86438
745,243.86493
746,243.86702
747,243.86847
748,243.87059
749,243.87132
750,243.87498
751,243.87537
752,243.87758
753,243.87485
754,243.87663
755,243.87929
756,243.87715
757,243.8738
758,243.87508
759,243.87463
760,243.87744
761,243.88013
762,243.8818
763,243.8835
764,243.88287
765,243.88382
766,243.88962
767,243.88962
768,243.89064
769,243.89339
770,243.89401
771,243.89754
772,243.89586
773,243.89677
774,243.8986
775,243.9006
776,243.90141
777,243.90164
778,243.90277
779,243.90384
780,243.9056
781,243.90501
782,243.90521
783,243.90833
784,243.90877
785,243.91142
786,243.91788
787,243.91928
788,243.92232
789,243.92671
790,243.92398
791,243.92578
792,243.92395
793,243.93066
794,243.92561
795,243.9292
796,243.93391
797,243.93506
798,243.93332
799,243.93616
800,243.93898
801,243.94241
802,243.94295
803,243.94177
804,243.9388
805,243.94228
806,243.9415
807,243.9456
808,243.95004
809,243.94606
810,243.94528
811,243.94449
812,243.9425
813,243.94759
814,243.94583
815,243.9471
816,243.95016
817,243.94704
818,243.9511
819,243.95409
820,243.95436
821,243.95361
822,243.95493
823,243.95815
824,243.96434
825,243.96802
826,243.96667
827,243.96773
828,243.9718
829,243.97432
830,243.97054
831,243.97145
832,243.97182
833,243.96866
834,243.96619
835,243.96725
836,243.9702
837,243.97499
838,243.97267
839,243.97737
840,243.97722
841,243.97678
842,243.97638
843,243.97816
844,243.97691
845,243.9745
846,243.9741
847,243.97566
848,243.97412
849,243.97278
850,243.9716
851,243.97118
852,243.97064
853,243.97115
854,243.96857
855,243.9711
856,243.96811
857,243.96754
858,243.96751
859,243.96829
860,243.96748
861,243.96866
862,243.96928
863,243.97043
864,243.97363
865,243.97522
866,243.97552
867,243.9763
868,243.97684
869,243.97562
870,243.97559
871,243.9732
872,243.97414
873,243.97443
874,243.97063
875,243.97261
876,243.97174
877,243.97394
878,243.97057
879,243.97028
880,243.96805
881,243.96608
882,243.97047
883,243.96881
884,243.96967
885,243.96848
886,243.96587
887,243.96329
888,243.96344
889,243.96579
890,243.96527
891,243.96893
892,243.96674
893,243.96286
894,243.96
895,243.95866
896,243.95692
897,243.95792
898,243.95346
899,243.95366
900,243.95314
901,243.95308
902,243.95088
903,243.95248
904,243.95137
905,243.95161
906,243.95464
907,243.95604
908,243.95488
909,243.95593
910,243.95609
911,243.95557
912,243.95338
913,243.95314
914,243.95403
915,243.95488
916,243.95583
917,243.9608
918,243.96387
919,243.96574
920,243.96603
921,243.96577
922,243.96324
923,243.96504
924,243.96785
925,243.96394
926,243.96146
927,243.95975
928,243.95811
929,243.95926
930,243.95671
931,243.95277
932,243.9535
933,243.95276
934,243.9516
935,243.9502
936,243.9548
937,243.95494
938,243.95619
939,243.95642
940,243.95726
941,243.95699
942,243.95546
943,243.9576
944,243.95436
945,243.95537
946,243.95325
947,243.95306
948,243.95648
949,243.9567
950,243.95432
951,243.95753
952,243.95622
953,243.95517
954,243.95409
955,243.9547
956,243.9546
957,243.95348
958,243.95262
959,243.95244
960,243.95581
961,243.95633
962,243.95372
963,243.95044
964,243.95311
965,243.9583
966,243.95607
967,243.9546
968,243.959
969,243.95822
970,243.96051
971,243.96265
972,243.96187
973,243.96408
974,243.96555
975,243.96518
976,243.96388
977,243.96272
978,243.96692
979,243.96791
980,243.96892
981,243.96877
982,243.97356
983,243.97221
984,243.97318
985,243.9772
986,243.97644
987,243.97978
988,243.9781
989,243.97614
990,243.97774
991,243.97537
992,243.97363
993,243.97246
994,243.9727
995,243.97433
996,243.97194
997,243.97012
998,243.97043
999,243.96777
1000,243.96829
1001,243.97087
1002,243.96634
1003,243.96796
1004,243.96509
1005,243.96327
1006,243.96457
1007,243.96501
1008,243.96504
1009,243.96446
1010,243.967
1011,243.96596
1012,243.96492
1013,243.96802
1014,243.9711
1015,243.97038
1016,243.96898
1017,243.96669
1018,243.9647
1019,243.96555
1020,243.95963
1021,243.9598
1022,243.96046
1023,243.95818
1024,243.96222
1025,243.95863
1026,243.9565
1027,243.95885
1028,243.96344
1029,243.96506
1030,243.96655
1031,243.96832
1032,243.96872
1033,243.96739
1034,243.96909
1035,243.96957
1036,243.96924
1037,243.96841
1038,243.9692
1039,243.96956
1040,243.96896
1041,243.96742
1042,243.96468
1043,243.96516
1044,243.96243
1045,243.96037
1046,243.95947
1047,243.95224
1048,243.94978
1049,243.9474
1050,243.95067
1051,243.95335
1052,243.95345
1053,243.95074
1054,243.949
1055,243.94994
1056,243.94736
1057,243.9475
1058,243.94733
1059,243.94592
1060,243.94052
1061,243.93878
1062,243.93723
1063,243.9381
1064,243.94292
1065,243.94156
1066,243.94014
1067,243.93802
1068,243.93602
1069,243.93707
1070,243.93576
1071,243.93471
1072,243.93625
1073,243.93893
